full_name,description,language,html_url,stargazers_count,topics,release_assets,windows_support,macos_support,linux_support,platform_notes
nook-browser/Nook,"A new browser, not owned by Atlassian.",Swift,https://github.com/nook-browser/Nook,1718,[],"[{""name"": ""Nook-v1.0.5.dmg"", ""download_url"": ""https://github.com/nook-browser/Nook/releases/download/v1.0.5/Nook-v1.0.5.dmg""}]",False,True,False,Supported platforms: macOS
quests-org/quests,The open-source app builder,TypeScript,https://github.com/quests-org/quests,384,"[""ai"", ""app-builder"", ""desktop-app"", ""electron"", ""linux"", ""llm"", ""macos"", ""orpc"", ""tanstack-router"", ""windows"", ""xstate""]","[{""name"": ""Quests-linux-1.7.3-x86_64.AppImage"", ""download_url"": ""https://github.com/quests-org/quests/releases/download/v1.7.3/Quests-linux-1.7.3-x86_64.AppImage""}, {""name"": ""Quests-mac-1.7.3-arm64.dmg"", ""download_url"": ""https://github.com/quests-org/quests/releases/download/v1.7.3/Quests-mac-1.7.3-arm64.dmg""}, {""name"": ""Quests-win-1.7.3-x64.exe"", ""download_url"": ""https://github.com/quests-org/quests/releases/download/v1.7.3/Quests-win-1.7.3-x64.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
2mawi2/schaltwerk,The IDE without editor,TypeScript,https://github.com/2mawi2/schaltwerk,141,[],"[{""name"": ""Schaltwerk-0.9.6-universal.dmg"", ""download_url"": ""https://github.com/2mawi2/schaltwerk/releases/download/v0.9.6/Schaltwerk-0.9.6-universal.dmg""}]",False,True,False,Supported platforms: macOS
ArthurSonzogni/Diagon,Interactive ASCII art diagram generators. :star2:,C++,https://github.com/ArthurSonzogni/Diagon,2123,"[""antlr"", ""arthursonzogni"", ""ascii"", ""ascii-art"", ""ascii-diagram"", ""cmake"", ""cpp"", ""generators"", ""lexer"", ""markdown"", ""parser"", ""uml"", ""uml-diagram"", ""unicode"", ""webapp"", ""webapplication"", ""webassembly""]","[{""name"": ""diagon-1.1.156-Darwin.dmg"", ""download_url"": ""https://github.com/ArthurSonzogni/Diagon/releases/download/v1.1.158/diagon-1.1.156-Darwin.dmg""}, {""name"": ""diagon-1.1.156-Linux.deb"", ""download_url"": ""https://github.com/ArthurSonzogni/Diagon/releases/download/v1.1.158/diagon-1.1.156-Linux.deb""}]",False,True,True,"Supported platforms: Linux, macOS"
fontforge/fontforge,"Free (libre) font editor for Windows, Mac OS X and GNU+Linux",C,https://github.com/fontforge/fontforge,7442,[],"[{""name"": ""FontForge-2025-10-09-Linux-x86_64.AppImage"", ""download_url"": ""https://github.com/fontforge/fontforge/releases/download/20251009/FontForge-2025-10-09-Linux-x86_64.AppImage""}, {""name"": ""FontForge-2025-10-09-MacOS.app.dmg"", ""download_url"": ""https://github.com/fontforge/fontforge/releases/download/20251009/FontForge-2025-10-09-MacOS.app.dmg""}, {""name"": ""FontForge-2025-10-09-Windows-x64.exe"", ""download_url"": ""https://github.com/fontforge/fontforge/releases/download/20251009/FontForge-2025-10-09-Windows-x64.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
toeverything/AFFiNE,"There can be more than Notion and Miro. AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together.",TypeScript,https://github.com/toeverything/AFFiNE,60919,"[""app"", ""editor"", ""electron"", ""knowledge-base"", ""markdown"", ""notes"", ""notion-alternative"", ""rust""]","[{""name"": ""affine-0.25.7-stable-linux-x64.appimage"", ""download_url"": ""https://github.com/toeverything/AFFiNE/releases/download/v0.25.7/affine-0.25.7-stable-linux-x64.appimage""}, {""name"": ""affine-0.25.7-stable-macos-arm64.dmg"", ""download_url"": ""https://github.com/toeverything/AFFiNE/releases/download/v0.25.7/affine-0.25.7-stable-macos-arm64.dmg""}, {""name"": ""affine-0.25.7-stable-windows-x64.exe"", ""download_url"": ""https://github.com/toeverything/AFFiNE/releases/download/v0.25.7/affine-0.25.7-stable-windows-x64.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
jordanbaird/Ice,Powerful menu bar manager for macOS,Swift,https://github.com/jordanbaird/Ice,24876,"[""macos"", ""macos-app"", ""menu-bar"", ""menubar"", ""menubar-app"", ""status-bar"", ""statusbar"", ""swift"", ""swiftui"", ""utility""]","[{""name"": ""Ice.zip"", ""download_url"": ""https://github.com/jordanbaird/Ice/releases/download/0.11.12/Ice.zip""}]",False,True,False,Supported platforms: macOS
imputnet/helium-macos,Helium Browser for macOS,C++,https://github.com/imputnet/helium-macos,890,[],"[{""name"": ""helium_0.7.6.1_arm64-macos.dmg"", ""download_url"": ""https://github.com/imputnet/helium-macos/releases/download/0.7.6.1/helium_0.7.6.1_arm64-macos.dmg""}, {""name"": ""helium_0.7.6.1_x86_64-macos.dmg"", ""download_url"": ""https://github.com/imputnet/helium-macos/releases/download/0.7.6.1/helium_0.7.6.1_x86_64-macos.dmg""}]",False,True,False,Supported platforms: macOS
athasdev/athas,"A lightweight, cross-platform code editor, built with Tauri (Rust and React) with Git support, AI agents, vim keybindings.",TypeScript,https://github.com/athasdev/athas,1801,"[""athas"", ""code-editor"", ""cross-platform"", ""editor"", ""ide"", ""lightweight"", ""react"", ""rust"", ""tauri"", ""text-editor"", ""vim"", ""wasm""]","[{""name"": ""Athas_0.2.7_aarch64.dmg"", ""download_url"": ""https://github.com/athasdev/athas/releases/download/v0.2.7/Athas_0.2.7_aarch64.dmg""}, {""name"": ""Athas_0.2.7_x64-setup.exe"", ""download_url"": ""https://github.com/athasdev/athas/releases/download/v0.2.7/Athas_0.2.7_x64-setup.exe""}, {""name"": ""Athas_0.2.7_amd64.deb"", ""download_url"": ""https://github.com/athasdev/athas/releases/download/v0.2.7/Athas_0.2.7_amd64.deb""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
tw93/Pake,🤱🏼 Turn any webpage into a desktop app with one command.,Rust,https://github.com/tw93/Pake,44166,"[""chatgpt"", ""claude"", ""desktop"", ""gemini"", ""hight-performance"", ""linux"", ""macos"", ""no-electron"", ""package"", ""rust"", ""tauri"", ""windows"", ""youtube""]","[{""name"": ""ChatGPT.dmg"", ""download_url"": ""https://github.com/tw93/Pake/releases/download/V3.6.0/ChatGPT.dmg""}, {""name"": ""ChatGPT_x64.msi"", ""download_url"": ""https://github.com/tw93/Pake/releases/download/V3.6.0/ChatGPT_x64.msi""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
sharph/s-rack,A modular synthesizer written in Rust,Rust,https://github.com/sharph/s-rack,51,"[""audio"", ""egui"", ""rust"", ""synth"", ""synthesizer""]","[{""name"": ""s-rack-x86_64-pc-windows-msvc.zip"", ""download_url"": ""https://github.com/sharph/s-rack/releases/download/0.3.0/s-rack-x86_64-pc-windows-msvc.zip""}, {""name"": ""s-rack-aarch64-apple-darwin.tar.xz"", ""download_url"": ""https://github.com/sharph/s-rack/releases/download/0.3.0/s-rack-aarch64-apple-darwin.tar.xz""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
blinkospace/blinko,"An open-source, self-hosted personal AI note tool prioritizing privacy, built using TypeScript .",TypeScript,https://github.com/blinkospace/blinko,7678,"[""markdown"", ""memos"", ""nextjs"", ""notebook"", ""openai"", ""postgres"", ""react"", ""self-hosted""]","[{""name"": ""Blinko_1.8.0_aarch64.dmg"", ""download_url"": ""https://github.com/blinkospace/blinko/releases/download/1.8.0/Blinko_1.8.0_aarch64.dmg""}, {""name"": ""Blinko_1.8.0_x64-setup.exe"", ""download_url"": ""https://github.com/blinkospace/blinko/releases/download/1.8.0/Blinko_1.8.0_x64-setup.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
winfunc/opcode,"A powerful GUI app and Toolkit for Claude Code - Create custom agents, manage interactive Claude Code sessions, run secure background agents, and more.",TypeScript,https://github.com/winfunc/opcode,19299,"[""anthropic"", ""anthropic-claude"", ""claude"", ""claude-4"", ""claude-4-opus"", ""claude-4-sonnet"", ""claude-ai"", ""claude-code"", ""claude-code-sdk"", ""cursor"", ""ide"", ""llm"", ""llm-code"", ""rust"", ""tauri""]","[{""name"": ""opcode_v0.2.0_macos_universal.dmg"", ""download_url"": ""https://github.com/winfunc/opcode/releases/download/v0.2.0/opcode_v0.2.0_macos_universal.dmg""}, {""name"": ""opcode_v0.2.0_linux_x86_64.deb"", ""download_url"": ""https://github.com/winfunc/opcode/releases/download/v0.2.0/opcode_v0.2.0_linux_x86_64.deb""}]",False,True,True,"Supported platforms: Linux, macOS"
Martian-Technologies/Connection-Machine,Connection Machine is an open-source desktop application for designing and simulating digital circuits at scale.,C++,https://github.com/Martian-Technologies/Connection-Machine,25,"[""circuit-design"", ""circuit-simulation"", ""circuit-simulator"", ""digital-circuit-design"", ""digital-logic"", ""logic-circuit"", ""logic-circuit-simulator""]","[{""name"": ""Connection-Machine-0.13.2-Mac.dmg"", ""download_url"": ""https://github.com/Martian-Technologies/Connection-Machine/releases/download/v0.13.2-beta/Connection-Machine-0.13.2-Mac.dmg""}, {""name"": ""Connection-Machine-0.13.2-Windows.zip"", ""download_url"": ""https://github.com/Martian-Technologies/Connection-Machine/releases/download/v0.13.2-beta/Connection-Machine-0.13.2-Windows.zip""}]",True,True,False,"Supported platforms: Windows, macOS"
Iamshankhadeep/ccseva,A beautiful macOS menu bar app for tracking your Claude Code usage in real-time.,TypeScript,https://github.com/Iamshankhadeep/ccseva,734,[],"[{""name"": ""CCSeva-1.3.0.dmg"", ""download_url"": ""https://github.com/Iamshankhadeep/ccseva/releases/download/v1.3.0/CCSeva-1.3.0.dmg""}]",False,True,False,Supported platforms: macOS
sst/opencode,The open source coding agent.,TypeScript,https://github.com/sst/opencode,40854,[],"[{""name"": ""opencode-desktop-darwin-aarch64.dmg"", ""download_url"": ""https://github.com/sst/opencode/releases/download/v1.0.184/opencode-desktop-darwin-aarch64.dmg""}, {""name"": ""opencode-desktop-windows-x64.exe"", ""download_url"": ""https://github.com/sst/opencode/releases/download/v1.0.184/opencode-desktop-windows-x64.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
pwnwriter/kanha,🦚  A web-app pentesting suite written in rust .,Rust,https://github.com/pwnwriter/kanha,317,"[""hackers-tools"", ""pentesting-suite"", ""recon"", ""unixporn""]","[{""name"": ""kanha--v0.1.2-i686-pc-windows-msvc.zip"", ""download_url"": ""https://github.com/pwnwriter/kanha/releases/download/v-v0.1.2/kanha--v0.1.2-i686-pc-windows-msvc.zip""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
asmvik/yabai,A tiling window manager for macOS based on binary space partitioning,,https://github.com/asmvik/yabai,27740,[],"[{""name"": ""yabai-v7.1.16.tar.gz"", ""download_url"": ""https://github.com/asmvik/yabai/releases/download/v7.1.16/yabai-v7.1.16.tar.gz""}]",False,True,False,Supported platforms: macOS
Qalculate/qalculate-gtk,Qalculate! GTK UI,,https://github.com/Qalculate/qalculate-gtk,1149,[],"[{""name"": ""qalculate-5.8.2-x64.msi"", ""download_url"": ""https://github.com/Qalculate/qalculate-gtk/releases/download/v5.8.2/qalculate-5.8.2-x64.msi""}, {""name"": ""qalculate-5.8.2-x64.zip"", ""download_url"": ""https://github.com/Qalculate/qalculate-gtk/releases/download/v5.8.2/qalculate-5.8.2-x64.zip""}, {""name"": ""qalculate-5.8.2-x86_64.tar.xz"", ""download_url"": ""https://github.com/Qalculate/qalculate-gtk/releases/download/v5.8.2/qalculate-5.8.2-x86_64.tar.xz""}, {""name"": ""qalculate-gtk-5.8.2.tar.gz"", ""download_url"": ""https://github.com/Qalculate/qalculate-gtk/releases/download/v5.8.2/qalculate-gtk-5.8.2.tar.gz""}]",True,False,False,Supported platforms: Windows
kunkunsh/kunkun,"An open source, cross-platform, extensible app launcher.",,https://github.com/kunkunsh/kunkun,1190,[],"[{""name"": ""kunkun-0.1.37-1.x86_64.rpm"", ""download_url"": ""https://github.com/kunkunsh/kunkun/releases/download/Kunkun-v0.1.37/kunkun-0.1.37-1.x86_64.rpm""}, {""name"": ""kunkun_0.1.37_aarch64.dmg"", ""download_url"": ""https://github.com/kunkunsh/kunkun/releases/download/Kunkun-v0.1.37/kunkun_0.1.37_aarch64.dmg""}, {""name"": ""kunkun_0.1.37_amd64.AppImage"", ""download_url"": ""https://github.com/kunkunsh/kunkun/releases/download/Kunkun-v0.1.37/kunkun_0.1.37_amd64.AppImage""}, {""name"": ""kunkun_0.1.37_amd64.deb"", ""download_url"": ""https://github.com/kunkunsh/kunkun/releases/download/Kunkun-v0.1.37/kunkun_0.1.37_amd64.deb""}, {""name"": ""kunkun_0.1.37_universal.dmg"", ""download_url"": ""https://github.com/kunkunsh/kunkun/releases/download/Kunkun-v0.1.37/kunkun_0.1.37_universal.dmg""}, {""name"": ""kunkun_0.1.37_x64-setup.exe"", ""download_url"": ""https://github.com/kunkunsh/kunkun/releases/download/Kunkun-v0.1.37/kunkun_0.1.37_x64-setup.exe""}, {""name"": ""kunkun_0.1.37_x64.dmg"", ""download_url"": ""https://github.com/kunkunsh/kunkun/releases/download/Kunkun-v0.1.37/kunkun_0.1.37_x64.dmg""}, {""name"": ""kunkun_0.1.37_x64_en-US.msi"", ""download_url"": ""https://github.com/kunkunsh/kunkun/releases/download/Kunkun-v0.1.37/kunkun_0.1.37_x64_en-US.msi""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
Abdenasser/neohtop,"💪🏻 Blazing-fast system monitoring for your desktop (built with Rust, Tauri & Svelte)",,https://github.com/Abdenasser/neohtop,8704,[],"[{""name"": ""intel-NeoHtop_1.2.0_x64.dmg"", ""download_url"": ""https://github.com/Abdenasser/neohtop/releases/download/v1.2.0/intel-NeoHtop_1.2.0_x64.dmg""}, {""name"": ""NeoHtop_1.2.0_x64.exe"", ""download_url"": ""https://github.com/Abdenasser/neohtop/releases/download/v1.2.0/NeoHtop_1.2.0_x64.exe""}, {""name"": ""NeoHtop_1.2.0_x86_64.AppImage"", ""download_url"": ""https://github.com/Abdenasser/neohtop/releases/download/v1.2.0/NeoHtop_1.2.0_x86_64.AppImage""}, {""name"": ""NeoHtop_1.2.0_x86_64.deb"", ""download_url"": ""https://github.com/Abdenasser/neohtop/releases/download/v1.2.0/NeoHtop_1.2.0_x86_64.deb""}, {""name"": ""NeoHtop_1.2.0_x86_64.rpm"", ""download_url"": ""https://github.com/Abdenasser/neohtop/releases/download/v1.2.0/NeoHtop_1.2.0_x86_64.rpm""}, {""name"": ""silicon-NeoHtop_1.2.0_aarch64.dmg"", ""download_url"": ""https://github.com/Abdenasser/neohtop/releases/download/v1.2.0/silicon-NeoHtop_1.2.0_aarch64.dmg""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
upscayl/upscayl,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.",,https://github.com/upscayl/upscayl,41851,[],"[{""name"": ""upscayl-2.15.0-linux.deb"", ""download_url"": ""https://github.com/upscayl/upscayl/releases/download/v2.15.0/upscayl-2.15.0-linux.deb""}, {""name"": ""upscayl-2.15.0-linux.rpm"", ""download_url"": ""https://github.com/upscayl/upscayl/releases/download/v2.15.0/upscayl-2.15.0-linux.rpm""}, {""name"": ""upscayl-2.15.0-mac.dmg"", ""download_url"": ""https://github.com/upscayl/upscayl/releases/download/v2.15.0/upscayl-2.15.0-mac.dmg""}, {""name"": ""upscayl-2.15.0-win.exe"", ""download_url"": ""https://github.com/upscayl/upscayl/releases/download/v2.15.0/upscayl-2.15.0-win.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
ghostty-org/ghostty,"👻 Ghostty is a fast, feature-rich, and cross-platform terminal emulator that uses platform-native UI and GPU acceleration.",,https://github.com/ghostty-org/ghostty,39832,[],"[{""name"": ""Ghostty.dmg"", ""download_url"": ""https://github.com/ghostty-org/ghostty/releases/download/tip/Ghostty.dmg""}]",False,True,False,Supported platforms: macOS
matryer/xbar,Put the output from any script or program into your macOS Menu Bar (the BitBar reboot),,https://github.com/matryer/xbar,17973,[],"[{""name"": ""xbar.v2.1.7-beta.dmg"", ""download_url"": ""https://github.com/matryer/xbar/releases/download/v2.1.7-beta/xbar.v2.1.7-beta.dmg""}]",False,True,False,Supported platforms: macOS
TheAssassin/AppImageLauncher,"Helper application for Linux distributions serving as a kind of ""entry point"" for running and integrating AppImages",C++,https://github.com/TheAssassin/AppImageLauncher,7347,[],"[{""name"": ""appimagelauncher_3.0.0-beta-2-gha287.96cb937_amd64.deb"", ""download_url"": ""https://github.com/TheAssassin/AppImageLauncher/releases/download/v3.0.0-beta-3/appimagelauncher_3.0.0-beta-2-gha287.96cb937_amd64.deb""}, {""name"": ""appimagelauncher_3.0.0-beta-2-gha287.96cb937_x86_64.rpm"", ""download_url"": ""https://github.com/TheAssassin/AppImageLauncher/releases/download/v3.0.0-beta-3/appimagelauncher_3.0.0-beta-2-gha287.96cb937_x86_64.rpm""}]",False,False,True,Supported platforms: Linux
transmission/transmission,Official Transmission BitTorrent client repository,C++,https://github.com/transmission/transmission,13816,[],"[{""name"": ""transmission-4.0.6-x64.msi"", ""download_url"": ""https://github.com/transmission/transmission/releases/download/4.0.6/transmission-4.0.6-x64.msi""}, {""name"": ""Transmission-4.0.6.dmg"", ""download_url"": ""https://github.com/transmission/transmission/releases/download/4.0.6/Transmission-4.0.6.dmg""}]",True,True,False,"Supported platforms: Windows, macOS"
squidowl/halloy,IRC application written in Rust,Rust,https://github.com/squidowl/halloy,3516,"[""iced"", ""irc"", ""rust""]","[{""name"": ""halloy-installer.msi"", ""download_url"": ""https://github.com/squidowl/halloy/releases/download/2025.12/halloy-installer.msi""}, {""name"": ""halloy.dmg"", ""download_url"": ""https://github.com/squidowl/halloy/releases/download/2025.12/halloy.dmg""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
feschber/lan-mouse,mouse & keyboard sharing via LAN,Rust,https://github.com/feschber/lan-mouse,4190,"[""gtk4-rs"", ""libadwaita"", ""linux"", ""macos"", ""windows""]","[{""name"": ""lan-mouse-macos-aarch64"", ""download_url"": ""https://github.com/feschber/lan-mouse/releases/download/v0.10.0/lan-mouse-macos-aarch64""}, {""name"": ""lan-mouse-windows.zip"", ""download_url"": ""https://github.com/feschber/lan-mouse/releases/download/v0.10.0/lan-mouse-windows.zip""}]",True,True,False,"Supported platforms: Windows, macOS"
zen-browser/desktop,Welcome to a calmer internet,JavaScript,https://github.com/zen-browser/desktop,38569,"[""firefox"", ""zen-browser""]","[{""name"": ""zen.installer.exe"", ""download_url"": ""https://github.com/zen-browser/desktop/releases/download/1.17.14b/zen.installer.exe""}, {""name"": ""zen.macos-universal.dmg"", ""download_url"": ""https://github.com/zen-browser/desktop/releases/download/1.17.14b/zen.macos-universal.dmg""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
lobehub/lobe-chat,"LobeHub - an open-source, modern design AI Agent Workspace",TypeScript,https://github.com/lobehub/lobe-chat,69291,"[""chat"", ""ai"", ""agent""]","[{""name"": ""LobeHub-Beta-1.143.2-setup.exe"", ""download_url"": ""https://github.com/lobehub/lobe-chat/releases/download/v1.143.2/LobeHub-Beta-1.143.2-setup.exe""}, {""name"": ""LobeHub-Beta-1.143.2-arm64.dmg"", ""download_url"": ""https://github.com/lobehub/lobe-chat/releases/download/v1.143.2/LobeHub-Beta-1.143.2-arm64.dmg""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
binwiederhier/ntfy,Send push notifications to your phone or desktop,Go,https://github.com/binwiederhier/ntfy,27814,"[""notifications""]","[{""name"": ""ntfy_2.15.0_linux_amd64.deb"", ""download_url"": ""https://github.com/binwiederhier/ntfy/releases/download/v2.15.0/ntfy_2.15.0_linux_amd64.deb""}, {""name"": ""ntfy_2.15.0_windows_amd64.zip"", ""download_url"": ""https://github.com/binwiederhier/ntfy/releases/download/v2.15.0/ntfy_2.15.0_windows_amd64.zip""}]",True,False,True,"Supported platforms: Linux, Windows"
ranfdev/Notify,Linux client for ntfy.sh,Rust,https://github.com/ranfdev/Notify,95,[],"[{""name"": ""com.ranfdev.Notify.tar.xz"", ""download_url"": ""https://github.com/ranfdev/Notify/releases/download/v0.1.6/com.ranfdev.Notify.tar.xz""}]",False,False,True,Supported platforms: Linux
charmbracelet/mods,AI on the command line,,https://github.com/charmbracelet/mods,4347,[],"[{""name"": ""mods-1.8.1-1.aarch64.rpm"", ""download_url"": ""https://github.com/charmbracelet/mods/releases/download/v1.8.1/mods-1.8.1-1.aarch64.rpm""}, {""name"": ""mods_1.8.1_amd64.deb"", ""download_url"": ""https://github.com/charmbracelet/mods/releases/download/v1.8.1/mods_1.8.1_amd64.deb""}, {""name"": ""mods_1.8.1_Windows_x86_64.zip"", ""download_url"": ""https://github.com/charmbracelet/mods/releases/download/v1.8.1/mods_1.8.1_Windows_x86_64.zip""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
kittybupu/openVCB,"An open source implementation of the Virtual Circuit Board loader, assembler, and simulation engine. ",,https://github.com/kittybupu/openVCB,92,[],"[{""name"": ""OpenVCB.Editor.MACOS.BETA.0.8.6.zip"", ""download_url"": ""https://github.com/kittybupu/openVCB/releases/download/GUIBeta0.8/OpenVCB.Editor.MACOS.BETA.0.8.6.zip""}, {""name"": ""OpenVCB.Editor.WIN.BETA.0.8.b.zip"", ""download_url"": ""https://github.com/kittybupu/openVCB/releases/download/GUIBeta0.8/OpenVCB.Editor.WIN.BETA.0.8.b.zip""}]",True,True,False,"Supported platforms: Windows, macOS"
